UF;Estado;Regiao;Area;Populacao Estimada;Populacao ult censo;Total de veículos;Matr Ensino Fundamental;Matr Ensino Medio;Docentes Ensino Fundamental;Docentes Ensino Médio;Nr estabel Ensino Fundamental;Nr Estabelecimentos Ensino Medio;IDH
RJ;Rio de Janeiro;Sudeste;43781,588;16718956;15989929;6377484;2064316;583051;120913;51889;7705;2228;0,761
AC;Acre;Norte;164123,737;829.619;733.559;251.556;162.822;43.510;7.659;2.249;1.461;188;0,663
AL;Alagoas;Nordeste;27848,140;3.375.823;3.120.494;753.825;523.339;123.281;23.813;6.740;2.577;370;0,631
AP;Amapá;Norte;142828,521;797.722;669.526;179.665;136.881;39.614;7.843;2.737;700;135;0,708
AM;Amazonas;Norte;1559146,876;4.063.614;3.483.985;819.382;723.437;189.743;34.626;9.350;4.937;423;0,674
BA;Bahia;Nordeste;564732,450;15.344.447;14.016.906;3.801.090;2.123.425;553.405;113.845;35.948;15.539;1.573;0,66
CE;Ceará;Nordeste;148887,633;9.020.460;8.452.381;2.909.172;1.272.352;373.274;63.283;21.424;6.057;938;0,682
DF;Distrito Federal;Centro-Oeste;5779,997;3.039.444;2.570.160;1.699.682;390.079;110.370;18.932;5.453;826;216;0,824
ES;Espírito Santo;Sudeste;46086,907;4.016.356;3.514.952;1.811.993;509.074;131.715;30.303;10.198;2.266;446;0,74
GO;Goiás;Centro-Oeste;340106,492;6.778.772;6.003.788;3.657.750;886.246;256.167;43.116;15.902;3.419;948;0,735
MA;Maranhão;Nordeste;331936,949;7.000.229;6.574.789;1.541.845;1.235.595;312.101;72.346;19.521;10.491;1.030;0,639
MT;Mato Grosso;Centro-Oeste;903202,446;3.344.544;3.035.122;1.881.794;461.713;157.934;28.634;12.981;1.953;612;0,725
MS;Mato Grosso do Sul;Centro-Oeste;357145,531;2.713.147;2.449.024;1.459.464;400.432;93.257;23.826;7.582;1.075;419;0,729
MG;Minas Gerais;Sudeste;586520,732;21.119.536;19.597.330;10.277.988;2.657.185;787.359;164.995;64.220;10.844;3.069;0,731
PA;Pará;Norte;1247955,238;8.366.628;7.581.051;1.827.135;1.475.087;359.978;65.891;16.062;9.922;771;0,646
PB;Paraíba;Nordeste;56468,435;4.025.558;3.766.528;1.184.259;577.768;133.182;34.907;10.839;4.632;558;0,658
PR;Paraná;Sul;199307,939;11.320.892;10.444.526;7.140.439;1.445.820;474.200;93.113;40.289;5.905;1.959;0,749
PE;Pernambuco;Nordeste;98076,021;9.473.266;8.796.448;2.816.115;1.324.537;364.603;64.351;21.103;7.738;1.142;0,673
PI;Piauí;Nordeste;251611,929;3.219.257;3.118.360;1.085.009;506.583;142.843;32.314;10.848;4.134;642;0,646
RN;Rio Grande do Norte;Nordeste;52811,107;3.507.003;3.168.027;1.183.363;486.560;129.452;25.065;7.146;2.801;438;0,684
RS;Rio Grande do Sul;Sul;281737,888;11.322.895;11.322.895;6.650.259;1.330.075;384.939;86.527;32.455;6.074;1.501;0,746
RO;Rondônia;Norte;237765,293;1.805.788;1.562.409;905.487;276.904;64.820;12.990;4.122;1.059;238;0,69
RR;Roraima;Norte;224300,805;522.636;450.479;201.081;91.651;22.995;5.657;1.990;645;144;0,707
SC;Santa Catarina;Sul;95737,954;7.001.161;6.248.436;4.772.160;837.814;242.153;48.904;18.879;3.250;990;0,774
SP;São Paulo;Sudeste;248219,627;45.094.866;41.262.199;27.332.100;5.330.730;1.850.513;294.613;129.971;14.817;6.432;0,783
SE;Sergipe;Nordeste;21918,443;2.288.116;2.068.017;709.682;343.734;81.768;18.374;5.193;1.923;270;0,665
TO;Tocantins;Norte;277720,412;1.550.194;1.383.445;637.236;251.179;68.654;12.681;4.643;1.327;313;0,699
